#,关键词,法规,别称
,,,
1,外商 投资性公司,,
,,,
1,中国人民银行关于人民币贷款利率有关问题的通知,,
,,,
1,驻华代表机构,,
,,,
1,国务院关于深化改革严格土地管理的决定,《国务院关于深化改革严格土地管理的决定》,
2,,《中华人民共和国刑法》,
3,,《监察部国土资源部关于违反土地管理规定行为行政处分暂行办法》,
4,,《中华人民共和国土地管理法》,
5,,《最高人民法院关于审理破坏土地资源刑事案件具体应用法律若干问题的解释》,
6,,《决定》,
,,,
1,一般纳税人认定,,
,,,
1,关于企业处置资产所得税处理问题的通知,,
,,,
1,知识产权海关保护条例,,
,,,
1,营业税 实施细则,《中华人民共和国营业税暂行条例》,
2,,《中华人民共和国营业税暂行条例实施细则》,
3,,《实施细则》,
4,,《关于修改〈中华人民共和国增值税暂行条例实施细则〉和〈中华人民共和国营业税暂行条例实施细则〉的决定》,
5,,《中华人民共和国增值税暂行条例实施细则》,
,,,
1,关于个人与用人单位解除劳动关系取得的一次性补偿收入征免个人所得税问题的通知,,
,,,
1,境外金融机构投资入股中资金融机构管理办法,《境外金融机构投资入股中资金融机构管理办法》,
2,,《汽车金融公司管理办法》,
,,,
1,项目融资业务指引,《中华人民共和国银行业监督管理法》,
2,,《中华人民共和国商业银行法》,
3,,《固定资产贷款管理暂行办法》,
4,,《项目融资业务指引》,
,,,
1,商务部,《外商投资产业指导目录》,
2,,《国务院关于机构设置的通知》,
3,,《中国对外经济贸易文告》,
4,,《反垄断法》,
5,,《最终用户和最终用途说明》,
,,,
1,大企业税务风险管理指引,《大企业税务风险管理指引》,
2,,《大企业税务风险管理指引（试行）》,
,,,
1,劳动争议调解仲裁,,
,,,
1,外商投资企业指导目录,,
,,,
1,道路运输条例,《中华人民共和国道路运输条例》,
2,,《国务院关于修改和废止部分行政法规的决定》,
3,,《条例》,
4,,《中华人民共和国道路交通安全法》,
,,,
1,外商投资项目不予免税的进口商品目录,,
,,,
1,金融,《国际的中国》,
2,,《一九三○年春上海（之一）》,
3,,《艳阳天》,
4,,《新帕尔·格雷夫经济学大字典》,
5,,《金融系列行业市场深度调研》,
6,,《转发全国考办关于调整高等教育自学考试《高等数学》,
7,,《关于调整我省高等教育自学考试国际经济法学课程的通知》,
8,,《聪明的投机客》,
9,,《金融》,
,,,
1,清产核资,《中华人民共和国会计法》,
2,,《企业国有资产监督管理暂行条例》,
,,,
1,货物自动进口许可管理办法,《中华人民共和国对外贸易法》,
2,,《中华人民共和国货物进出口管理条例》,
3,,《货物自动进口许可管理办法》,
4,,《自动进口许可证》,
,,,
1,信息公开,《中华人民共和国政府信息公开条例》,
2,,《条例》,
3,,《信息自由法》,
4,,《行政程序法》,
5,,《保密法》,
6,,《中国政府公开信息整合服务平台》,
7,,《出版自由法》,
8,,《咨询委员会法》,
9,,《阳光下的政府法》,
10,,《隐私权法》,
11,,《政府信息公开规定》,
12,,《规定》,
13,,《信息公开法》,
14,,《关于公共机关信息公开的法律》,
15,,《政府信息公开条例》,
16,,《情报自由法》,
17,,《联邦隐私权法》,
18,,《个人隐私保护法》,
,,,
1,中华人民共和国中外合作经营企业法实施细则,《中华人民共和国中外合作经营企业法实施细则》,
2,,《中华人民共和国中外合作经营企业法》,
3,,《国务院关于废止和修改部分行政法规的决定》,
,,,
1,分公司 与 债务,,
,,,
1,电气故障,,
,,,
1,销售进口设备 与 税务) 与 全国,,
,,,
1,拉走客户,,
,,,
1,中华人民共和国营业税暂条例,,
,,,
1,利息收入 与 营业税,,
,,,
1,股息收入 与 营业税,,
,,,
1,外资企业 储备基金,,
,,,
1,"利润分配, 中外合资经营, 实际缴纳",,
,,,
1,外国企业驻华代表机构管理条例,,
,,,
1,"保险法, 低于 与 价格",,
,,,
1,保险公司 分公司 支公司,,
,,,
1,中国保监会,,
,,,
1,北京市财政局北京市国家税务局北京市地方税务局关于开展营业税改征增值税试点过渡性财政扶持资金管理工作的通知,,
,,,
1,研究开发费用 2012,,
,,,
1,电阻器,《红》,电阻
2,,《橙》,
3,,《黑》,
4,,《金》,
5,,《蓝》,
6,,《绿》,
,,,
1,商标异议复审 北京市第一中级人民法院,,
,,,
1,红字增值税普通发票,,
,,,
1,行政确认,《公证暂行条例》,
,,,
1,财税法制建设,,
,,,
1,清算 处置公司财产,,
,,,
1,汽车零部件三包,,
,,,
1,北京市所得税汇算清缴 辅导材料,,
,,,
1,permanent establishment hong kong one month,,
,,,
1,京财税031692,,
,,,
1,免费赠送物品 与 报关) 与 全国,,
,,,
1,上岗,《再就业优惠证》,
2,,《特困职工优惠证》,
3,,《就业登记证》,
4,,《城市居民最低生活保障金领取证》,
5,,《无锡市职工终止或解除劳动关系通知书》,
6,,《职工养老保险手册》,
7,,《残疾人证》,
,,,
1,2011 27号公告,,
,,,
1,个人所得税 年度汇算清缴,,
,,,
1,著作权 集体管理,《中华人民共和国著作权法》,
2,,《中华人民共和国著作权法实施条例》,
,,,
1,公益性项目建设,,
,,,
1,转移定价操作指南,,
,,,
1,招聘费,,
,,,
1,劳动仲裁管辖,,
,,,
1,国家税务总局公告 与 2012 与 57,,
,,,
1,地域管辖,《民事诉讼法》,
,,,
1,劳动 南京,,
,,,
1,科研,《现代科学技术基础知识》,
,,,
1,特种设备 证书,,
,,,
1,国务院办公厅关于中外合资经营企业注册资本与投资总额比例问题的规定,,
,,,
1,配偶,《东观汉记·邓训传》,
2,,《资治通鉴·后梁均王贞明二年》,
3,,《东周列国志》,
4,,《剪灯新话·鉴湖夜泛记》,
5,,《海燕》,
6,,《汉书·外戚传上·孝昭上官皇后》,
7,,《元史·世祖纪十三》,
8,,《潮嘉风月记·丽景》,
9,,《楚辞·王逸》,
10,,《汉书·货殖传》,
11,,《仪礼·丧服》,
12,,《服制图》,
13,,《中华人民共和国刑事诉讼法》,
14,,《遗嘱条例》,
15,,《无遗嘱者遗产条例》,
,,,
1,物联网 应用示范,,
,,,
1,家属,《管子·立政》,
2,,《史记·五宗世家》,
3,,《南史·王懿传》,
4,,《天石砚铭跋》,
5,,《水浒传》,
6,,《东方》,
,,,
1,综合业务系统,,
,,,
1,江西雄丰实业有限公司,,
,,,
1,诽谤 商业信誉 网络,,
,,,
1,财政部、国家税务总局 关于营业税若干政策问题的通知 2003,,
,,,
1,土地使用税 电力,,
,,,
1,对华侨政策,,
,,,
1,个人所得税 来源于中国境内 所得,,
,,,
1,工程设计版权,,
,,,
1,申报负荷,,
,,,
1,陕西中人通信有限责任公司,,
,,,
1,不动产增值税进项抵扣,,
,,,
1,实际用车人,,
,,,
1,化工 退休,,
,,,
1,供电配套工程收费,,
,,,
1,全国供用电规则,《全国供用电规则》,
,,,
1,技术合作开发与技术委托开发,,
,,,
1,劳务分包与劳务派遣,,
,,,
1,劳动问题解答 与 现行有效 与 江苏省,,
,,,
1,北大方正电子,,
,,,
1,"国家经济体制改革委员会, 国家经济体制改革委员会 改制",,
,,,
1,社会保险 异地,,
,,,
1,关于本市开展外商投资股权投资企业及其管理机构试点工作的暂行办法的实施细则,,
,,,
1,企业研发中心,,
,,,
1,增值税汇总 深圳,,
,,,
1,促进首都金融业发展,,
,,,
1,域名争议 提出时限,,
,,,
1,金融工具 确认和计量,,
,,,
1,融资租赁 天津,,
,,,
1,共同居住人,,
,,,
1,高某某盗窃罪案,,
,,,
1,马某某盗窃罪案,,
,,,
1,外出经营超过180天,,
,,,
1,营业税 分保,,
,,,
1,政府专项 71号,,
,,,
1,用工 乙肝规定,,
,,,
1,2008年28号,,
,,,
1,汽车制造许可证,,
,,,
1,发改委 与 产业基金,,
,,,
1,银行 增值税,,
,,,
1,上市公司社会责任指引,,
,,,
1,情势变更 判决文书,,
,,,
1,外国投资者委托贷款,,
,,,
1,境内金融机构境外直接投资,,
,,,
1,注册税务师 涉税鉴证报告,,
,,,
1,关于贯彻《税务登记管理办法》若干具体问题的通知,,
,,,
1,自有资金改造项目,,
,,,
1,王某某抢劫罪案,,
,,,
1,陕西省产业结构,,
,,,
1,关于加强对非独立核算分支机构管理,,
,,,
1,鼓励类企业进口设备免征关税,,
,,,
1,筹办期 收入,,
,,,
1,燃油发电 补贴,,
,,,
1,外债还本付息核准,,
,,,
1,"税收征收, 税收征收管理法",,
,,,
1,"工伤认定, 加班, 上海",,
,,,
1,税收属地管理,,
,,,
1,福建省 外商投资项目核准,,
,,,
1,中外合作 土地使用权,,
,,,
1,赵某盗窃罪案,,
,,,
1,徐某盗窃罪案,,
,,,
1,轮胎 更换,,
,,,
1,不论采用细则中规定的何种销售结算方,,
,,,
1,虚列成本,,
,,,
1,增值税 与 劳保用品,,
,,,
1,销项增值税发票,,
,,,
1,非居民企业转让股权,,
,,,
1,企业所得税税前弥补亏损,,
,,,
1,股权转让 收购,,
,,,
1,39号文,,
,,,
1,共用水电,,
,,,
1,人民币合格境外机构投资者,《基金管理公司、证券公司人民币合格境外机构投资者境内证券投资试点办法》,
2,,《试点办法》,
3,,《基金管理公司、证券公司人民币合格RQFII的申请资格境外机构投资者境内证券投资试点办法》,
4,,《人民币合格境外机构投资者境内证券投资试点办法》,
5,,《关于实施的规定》,
,,,
1,房地产 融资租赁,,
,,,
1,111号文,,
,,,
1,关于跨境人民币直接投资有关问题的通知,,
,,,
1,股权代持,《香港公司条例》,
2,,《关于审理公司纠纷案件若干问题的规定（一）》,
3,,《人民法院案例选》,
4,,《中国审判案例要览》,
,,,
1,商业预付卡,《关于规范商业预付卡管理的意见》,
2,,《单用途商业预付卡管理办法（征求意见稿）》,
3,,《单用途商业预付卡管理办法(试行)》,
4,,《单用途商业预付卡发行服务规范》,
5,,《意见》,
6,,《非金融机构支付服务管理办法》,
7,,《中华人民共和国发票管理办法》,
8,,《中国共产党党员领导干部廉洁从政若干准则》,
9,,《中共中央办公厅国务院办公厅关于严禁党政机关及其工作人员在公务活动中接受和赠送礼金、有价证券的通知》,
10,,《单用途商业预付卡管理办法(征求意见稿)》,
11,,《单用途预付卡发行管理办法》,
12,,《单用途预付卡发行服务规范》,
,,,
1,境外 经营 法律风险,,
,,,
1,裁员,《劳动法》,
2,,《中华人民共和国劳动法》,
3,,《中华人民共和国破产法》,
4,,《民事诉讼法》,
5,,《企业裁减人员规定（征求意见稿）》,
6,,《企业经济性裁减人员规定》,
,,,
1,四川 工资支付,,
,,,
1,海上石油资源,,
,,,
1,国税发[2011]25号,,
,,,
1,股权激励 企业所得税,,
,,,
1,显失公平,《民通意见》,
2,,《中华人民共和国民法通则》,
3,,《关于贯彻执行〈民法通则〉若干问题的意见》,
4,,《中华人民共和国合同法》,
5,,《民法通则》,
6,,《最高人民法院〈民通〉意见》,
7,,《合同法》,
8,,《德国民法典》,
9,,《美国统一商法典》,
,,,
1,不得免征和抵扣税额,,
,,,
1,财税2003 16,,
,,,
1,增值税 税率,《关于涉外税收实施增值税有关征管问题的通知》,
2,,《中华人民共和国增值税暂行条例》,
3,,《关于加油站一律按照增值税一般纳税人征税的通知》,
4,,《关于应税服务适用增值税零税率和免税政策的通知》,
,,,
1,关于建立更紧密经贸关系的安排,,
,,,
1,82号文,,
,,,
1,"股份有限公司, 外商投资",,
,,,
1,财税[2005]25号,,
,,,
1,国家税务总局关于企业年金个人所得税征收管理有关问题的通知,,
,,,
1,环境税,《福利经济学》,
2,,《二氧化硫税法案》,
3,,《所得税估算法案》,
4,,《第一次全国污染源普查公报》,
5,,《中国低碳经济发展报告(2014)》,
6,,《21世纪程》,
,,,
1,串通投标罪,《反不正当竞争法》,
2,,《刑法》,
,,,
1,所得税暂行条例,,
,,,
1,外国人个人所得税,,
,,,
1,软件许可,,
,,,
1,国税发2009 88号,,
,,,
1,国家 与 秘密,,
,,,
1,对外贸易经营者,,
,,,
1,国税发[2009]91号,,
,,,
1,关于进一步打击非法集资等活动的通知,,
,,,
1,其他所得,,
,,,
1,工业产品生产许可证目录,,
,,,
1,10号文,,
,,,
1,容积率,《容积率指标计算规则》,建筑面积毛密度
2,,《建筑工程建筑面积计算规范》,
3,,《化工企业总图运输设计规范》,
4,,《关于落实住房和城乡建设部、监察部〈关于加强建设用地容积率管理和监督检查的通知〉的意见》,
5,,《河北省城市控制性详细规划管理办法(试行)》,
6,,《长春市经营性用地容积率指标调整办法》,
7,,《长春市建设项目容积率计算原则》,
8,,《长春市关于违规调整建设用地容积率的责任追究办法》,
9,,《城乡规划法》,
10,,《违反城乡规划规定行为处分办法》,
11,,《房屋征收补偿安置方案》,
12,,《关于认真做好城镇房屋拆迁工作维护社会稳定的紧急通知》,
13,,《国有土地上房屋征收与补偿条例》,
14,,《城市规划法》,
15,,《城市规划条例》,
16,,《建设用地容积率管理办法》,
,,,
1,中华人民共和国车船使用税暂行条例,《中华人民共和国车船使用税暂行条例》,
2,,《船舶税额表》,
3,,《车辆税额表》,
4,,《中华人民共和国税收征收管理暂行条例》,
,,,
1,土地用途分类,,
,,,
1,划拨用地目录,《划拨用地目录》,
2,,《中华人民共和国土地管理法》,
3,,《中华人民共和国城市房地产管理法》,
4,,《划拨用地项目目录》,
,,,
1,个人所得税的减免规定,,
,,,
1,财政部、国家税务总局关于增值税、营业税若干政策规定的通知,,
,,,
1,关于加强对引进无形资产售付汇管理有关问题的通知,,
,,,
1,资源税暂行条例,《中华人民共和国资源税暂行条例》,
2,,《国务院关于修改〈中华人民共和国资源税暂行条例〉的决定》,
3,,《资源税税目税额幅度表》,
4,,《中华人民共和国税收征收管理法》,
5,,《中华人民共和国资源税条例(草案)》,
6,,《中华人民共和国盐税条例(草案)》,
7,,《中华人民共和国对外合作开采海洋石油资源条例》,
8,,《中华人民共和国对外合作开采陆上石油资源条例》,
,,,
1,合资,《西学东渐记》,合营
2,,《子夜》,
3,,《中华人民共和国公司法》,
4,,《中华人民共和国合同法》,
5,,《公司法》,
,,,
1,西部大开发税收优惠,,
,,,
1,英文版,,
,,,
1,关于股票增值权所得和限制性股票所得征收个人所得税有关问题的通知,,
,,,
1,国务院关于进一步加强在境外发行股票和上市管理的通知,,
,,,
1,污水处理,《医院污水处理设计规范》,
2,,《建筑中水设计规范》,
3,,《污水再生利用工程设计规范》,
4,,《城镇污水处理厂污染物排放标准》,
5,,《农田灌溉水质标准》,
6,,《中国污水处理行业市场前瞻与投资规划分析报告》,
7,,《2014-2018年中国污水处理行业市场前瞻与投资规划分析报告》,
,,,
1,闲置土地,《闲置土地处置办法（修订草案）》,
2,,《有关房地产开发企业土地闲置情况表》,
3,,《责令限期动工通知书》,
,,,
1,银行间债券市场非金融企业中期票据业务指引,,
,,,
1,植物新品种,,
,,,
1,法律适用,《立法法》,
2,,《法理学》,
3,,《法理学教程》,
4,,《现代法理学－－历史与理论》,
5,,《新编实用法律辞典》,
6,,《现代法理学》,
7,,《制度法论》,
8,,《法律适用杂志》,
9,,《民事诉讼法》,
10,,《〈公司法〉规定(四)(征求意见稿)》,
11,,《国家赔偿法》,
,,,
1,劳动监察,《劳动监察员证》,
2,,《劳动监察询问通知书》,
3,,《劳动监察指令书》,
4,,《通知书》,
5,,《指令书》,
6,,《行政诉讼法》,
7,,《行政复议条例》,
8,,《国务院关于实施若干规定》,
9,,《劳动保障监察条例》,
10,,《中华人民共和国工会法》,
11,,《劳动法》,
,,,
1,建设工程规划许可证,《中华人民共和国城乡规划法》,
2,,《建设工建设工程规划许可证程规划许可证》,
3,,《建设工程规划许可证》,
4,,《建设工程施工许可证》,
5,,《报送建筑工程设计方案、建设工程规划许可证地形图示意图》,
6,,《建筑设计方案并联审批办理通知书》,
7,,《建筑设计方案并联审批审核意见书》,
8,,《建设规划建筑设计方案并联审批审核意见书》,
9,,《建设工程规划许可并联审批办理通知书》,
10,,《建设工程规划许可并联审批审核意见书》,
,,,
1,股息 红利,,
,,,
1,法定盈余公积,《企业会计制度》,
2,,《企业会计准则》,
3,,《中华人民共和国企业法》,
,,,
1,固定资产贷款管理暂行办法,《中华人民共和国银行业监督管理法》,
2,,《中华人民共和国商业银行法》,
,,,
1,民法通则意见,《中华人民共和国民法通则》,
2,,《最高人民法院关于废止2007年底以前发布的有关司法解释（第七批）的决定》,
3,,《最高人民法院关于贯彻执行《中华人民共和国民法通则》,
,,,
1,《中华人民共和国营业税暂行条例实施细则》,《中华人民共和国营业税暂行条例》,
2,,《中华人民共和国营业税暂行条例实施细则》,
3,,《实施细则》,
4,,《关于修改〈中华人民共和国增值税暂行条例实施细则〉和〈中华人民共和国营业税暂行条例实施细则〉的决定》,
5,,《中华人民共和国增值税暂行条例实施细则》,
,,,
1,闲置土地管理办法,,
,,,
1,麦当劳,《未来的主人翁》,
2,,《傻瓜大闹科学城》,
3,,《大话西游》,
4,,《麦当劳手册》,
5,,《世界品牌500强》,
6,,《财富》,
7,,《华尔街日报》,
8,,《每日邮报》,
9,,《食品添加剂使用卫生标准》,
,,,
1,营业税免税,,
,,,
1,贷款风险分类指引,,
,,,
1,中华人民共和国契税暂行条例细则,《中华人民共和国契税暂行条例细则》,
2,,《细则》,
3,,《中华人民共和国契税暂行条例》,
,,,
1,外商投资企业投资者股权变更,,
,,,
1,Permanent establishment,,
,,,
1,土地成片开发,,
,,,
1,案外人执行异议之诉,《民事诉讼法》,
2,,《中华人民共和国民事诉讼法》,
3,,《最高人民法院关于执行权合理配置和科学运行的若干意见》,
,,,
1,商标近似行政处罚,,
,,,
1,加强网络信息保护,,
,,,
1,外资保险公司管理规定,,
,,,
1,国税发1996,,
,,,
1,境外上市外资股,《到境外上市公司章程必备条款》,
2,,《必备条款》,
3,,《国务院证券委关于推荐境外上市预选企业的条件、程序及所需文件的通知》,
,,,
1,运费 增值税,,
,,,
1,国家税务总局公告2011年第77号,,
,,,
1,59号文 特殊性重组,,
,,,
1,最高人民法院关于审理买卖合同纠纷案件适用法律问题的解释,《中华人民共和国民法通则》,
2,,《中华人民共和国合同法》,
3,,《中华人民共和国物权法》,
4,,《中华人民共和国民事诉讼法》,
5,,《关于审理买卖合同纠纷案件适用法律问题的解释》,
6,,《解释》,
7,,《最高人民法院关于审理买卖合同纠纷案件适用法律问题的解释》,
,,,
1,中央企业境外国有资产监督管理暂行办法,《中华人民共和国企业国有资产法》,
2,,《企业国有资产监督管理暂行条例》,
3,,《中央企业境外国有资产监督管理暂行办法》,
4,,《办法》,
5,,《中央企业资产损失责任追究暂行办法》,
,,,
1,三方协议,《普通高等学校毕业生、毕业研究生就业协议书》,
2,,《劳动法》,
3,,《合同法》,
4,,《劳动合同法》,
5,,《中华人民共和国劳动合同法》,
6,,《上海劳动合同条例》,
,,,
1,关于贯彻落实广东省地方教育附加征收使用管理暂行办法的意见,,
,,,
1,预扣税,,
,,,
1,私车公用,,
,,,
1,开曼群岛,《开曼人罗盘报》,
2,,《商业协会新闻》,
3,,《新星》,
4,,《马德里条约》,
5,,《马德里斯科条约》,
,,,
1,财税[2007]80号,,
,,,
1,商业银行并购贷款风险管理指引,《商业银行并购贷款风险管理指引》,
2,,《中华人民共和国银行业监督管理法》,
3,,《中华人民共和国商业银行法》,
,,,
1,股息收入所得税,,
,,,
1,国家税务总局金税工程增值税,,
,,,
1,城建税和教育费附加,,
,,,
1,保险公司管理办法,,
,,,
1,个人所得税 扣缴义务人,,
,,,
1,企业所得税 实施细则,,
,,,
1,增值税 退税,《关于进一步推进出口货物实行免抵退税办法的通知》,
2,,《增值税暂行条例》,
3,,《消费税税目税率表》,
4,,《出口货物退(免)税申报表》,
5,,《出口货物报关单》,
6,,《收入退还书》,
,,,
1,职工代表,,
,,,
1,商标法 实施细则,,
,,,
1,反向工程,《积体电路布图保护条例》,逆向工程或反求工程
,,,
1,银行财务评价,,
,,,
1,纳税信用等级评定管理试行办法,《纳税信用等级评定管理试行办法》,
2,,《中华人民共和国税收征收管理法实施细则》,
,,,
1,收购管理办法,,
,,,
1,中央企业,《关于中国航天科技集团公司与中国乐凯胶片集团公司重组的通知》,
2,,《关于中国第二重型机械集团公司与中国机械工业集团有限公司重组的通知》,
3,,《财富》,
4,,《中共中央关于国有企业改革和发展若干重大问题的决定》,
,,,
1,民诉意见,《中华人民共和国民事诉讼法》,
2,,《中华人民共和国企业破产法（试行）》,
,,,
1,依法行政,《中共中央关于制定国民经济和社会发展第十个五年计划的建议》,
2,,《中共中央关于全面推进依法治国若干重大问题的决定》,
3,,《决定》,
4,,《国务院关于废止和修改部分行政法规的决定》,
5,,《国务院关于修改部分行政法规的决定》,
6,,《左传》,
7,,《全面推进依法行政实施纲要》,
8,,《国务院工作规则》,
9,,《中华人民共和国政府信息公开条例》,
10,,《关于加强市县政府依法行政的决定》,
11,,《关于实行党政领导干部问责的暂行规定》,
,,,
1,连带责任,《侵权责任法》,
2,,《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》,
3,,《民法通则》,
4,,《合同法》,
5,,《担保法》,
6,,《关于贯彻执行中华人民共和国民法通则若干问题的意见》,
7,,《关于人民法院审理借贷案件的若干意见》,
8,,《关于审理农村承包合同纠纷案件若干问题的意见》,
9,,《关于审理联营合同纠纷案件若干问题的解答》,
10,,《广告法实施细则》,
11,,《关于审理存单纠纷案件的若干规定》,
12,,《若干规定》,
,,,
1,非贸易收汇,,
,,,
1,劳动合同法 非 浙江省,,
,,,
1,2009 601,,
,,,
1,2010,《冬季恋歌》,
2,,《政府工作报告》,
3,,《国家中长期人才发展规划纲要（2010—2020年）》,
4,,《生命档案》,
5,,《复兴之路》,
6,,《中华人民共和国可再生能源法》,
7,,《中华人民共和国著作权法》,
8,,《机动车驾驶证申领和使用规定》,
9,,《中华人民共和国知识产权海关保护条例》,
10,,《气象灾害防御条例》,
11,,《保险公司董事、监事和高级管理人员任职资格管理规定》,
12,,《财产保险公司保险条款和保费管理办法》,
13,,《国家中长期教育改革和发展规划纲要》,
14,,《沁园春·和谐世界》,
15,,《化古开今》,
16,,《我的梦》,
,,,
1,转让无形资产 营业税,,
,,,
1,合作办学,,
,,,
1,档案,,
,,,
1,国家税务总局关于调整增值税扣税凭证抵扣期限有关问题的通知,,
,,,
1,关于企业关联方利息支出税前扣除标准有关税收政策问题的通知,,
,,,
1,城市供水价格管理办法,,
,,,
1,国税发2008 28,,
,,,
1,财税[2002]182号,,
,,,
1,商业领域,,
,,,
1,医疗美容服务管理办法,《执业医师法》,
2,,《医疗机构管理条例》,
3,,《护士管理办法》,
4,,《医疗美容服务管理办法》,
5,,《医疗美容项目分级管理目录》,
6,,《医疗机构基本标准(试行)》,
7,,《医疗机构管理条例实施细则》,
8,,《设置医疗机构批准书》,
9,,《医疗机构执业许可证》,
,,,
1,商业特许经营管理办法,《商业特许经营管理办法（试行）》,
2,,《商业特许经营管理条例》,
3,,《中华人民共和国治安管理处罚法》,
4,,《禁止传销条例》,
5,,《商业特许经营管理办法》,
6,,《中华人民共和国专利法》,
7,,《专利实施许可合同备案管理办法》,
8,,《中华人民共和国商标法》,
9,,《外商投资产业指导目录》,
10,,《外商投资企业批准证书》,
11,,《中华人民共和国广告法》,
,,,
1,代垫,,
,,,
1,关于外商投资举办投资性公司的补充规定,《关于外商投资举办投资性公司的补充规定》,
2,,《关于举办外商投资性公司的规定》,
3,,《对外贸易经营者备案登记办法》,
,,,
1,集成电路企业,《集成电路企业认定申报表》,
2,,《外商投资项目不予免税的进口商品目录》,
3,,《国内投资项目不予免税的进口商品目录》,
4,,《关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知》,
5,,《财政部国家税务总局关于软件产品增值税政策的通知》,
6,,《软件产品登记证书》,
7,,《集成电路设计企业认定管理办法》,
8,,《软件企业认定管理办法》,
,,,
1,来料加工贸易免税管理办法,,
,,,
1,抽奖,《代郑南海谢上表》,
,,,
1,财产损失税前扣除,,
,,,
1,财政部税务总局关于执行税收协定若干条文解释的通知,,
,,,
1,上市公司信息披露,《公司法》,
2,,《证券法》,
3,,《关于支持做强北京中关村科技园区若干政策措施的会议纪要》,
4,,《上市规则》,
5,,《暂停股票上市公告书》,
6,,《终止股票上市公告书》,
7,,《企业如何成功上市》,
,,,
1,香港上市,,
,,,
1,固体废物,《环境工程 名词术语》,
2,,《中华人民共和国固体废物污染环境防治法》,
3,,《关于危险废弃物处置收费的意见》,
4,,《全国危险废物和医疗废物处置设施建设规划》,
5,,《规划》,
,,,
1,贪污,《庄子·秋水》,
2,,《淮南子·俶真训》,
3,,《荆钗记·觅真》,
4,,《后汉书·周举传》,
5,,《渌水亭杂识》,
6,,《中华民国解》,
7,,《汉书·冯奉世传》,
8,,《后汉书·酷吏传·阳球》,
9,,《魏书·崔休传》,
10,,《艳阳天》,
11,,《刑法》,
12,,《最高人民检察院关于人民检察院直接受理立案侦查案件立案标准的规定（试行）》,
13,,《立案标准》,
14,,《中华人民共和国刑法》,
,,,
1,违法所得,《关于惩治生产、销售伪劣商品犯罪的决定》,
,,,
1,企业债券管理条例,《企业债券管理暂行条例》,
2,,《企业债券管理条例》,
3,,《条例》,
4,,《国务院关于废止和修改部分行政法规的决定》,
5,,《现金管理暂行条例》,
,,,
1,财政部、国家税务总局关于规范个人投资者个人所得税征收管理的通知,,
,,,
1,北京市基本医疗保险规定,,
,,,
1,公共基础设施项目企业所得税优惠目录,,
,,,
1,case,,
,,,
1,中华人民共和国标准化法,《中华人民共和国标准化法》,
,,,
1,税收抵免,,
,,,
1,国产设备退税,,
,,,
1,营业税纳税义务发生时间,,
,,,
1,外汇管制,《国际货币基金组织协定》,
,,,
1,国家税务总局关于房地产开发业务征收企业所得税问题的通知,,
,,,
1,城市房地产管理办法,,
,,,
1,信托投资公司管理办法,《信托投资公司管理办法》,
2,,《办法》,
3,,《中华人民共和国信托法》,
4,,《中华人民共和国银行业监督管理法》,
5,,《信托公司管理办法》,
6,,《中华人民共和国公司法》,
,,,
1,合格境外机构投资者境内证券投资管理暂行办法,《合格境外机构投资者境内证券投资管理暂行办法》,
2,,《外商投资产业指导目录》,
,,,
1,copyright,《书信集·致胡今虚》,
2,,《东都事略》,
3,,《安妮女王法令》,
4,,《安妮法令》,
5,,《中华人民共和国民法通则》,
6,,《中华人民共和国合同法》,
7,,《知识产权与国家信息基础设施》,
8,,《数字千年版权法》,
9,,《大清著作权律》,
10,,《关于改进和发展出版工作的决议》,
11,,《著作权法》,
,,,
1,财政部 证监会 审计署 银监会 保监会关于印发企业内部控制配套指引的通知,,
,,,
1,固定期限 无固定期限,,
,,,
1,知青 或 知识青年 或 上山下乡,,
,,,
1,建筑业 企业所得税,,
,,,
1,契税 房屋,,
,,,
1,非上市公众公司监督管理办法,《非上市公众公司监督管理办法》,
2,,《关于修改〈非上市公众公司监督管理办法〉的决定》,
3,,《办法》,
4,,《证券法》,
5,,《公司法》,
,,,
1,加工贸易 免税,,
,,,
1,物流辅助,,
,,,
1,nuclear,,
,,,
1,关于加强非居民企业股权转让所得企业所得税,,
,,,
1,互免海运、空运企业运输收入税收的协定,,
,,,
1,关于开展药品、医疗器械生产经营单位和医疗机构发票使用情况专项整治工作的通知,,
,,,
1,集体福利,,
,,,
1,股息分配 企业所得税,,
,,,
1,2010 54,,
,,,
1,货物贸易外汇管理指引实施细则,《货物贸易外汇管理试点指引实施细则》,
2,,《实施细则》,
3,,《货物贸易外汇管理试点指引》,
4,,《贸易外汇收支企业名录登记申请书》,
5,,《货物贸易外汇收支业务办理确认书》,
6,,《确认书》,
7,,《企业法人营业执照》,
8,,《企业营业执照》,
9,,《中华人民共和国组织机构代码证》,
10,,《对外贸易经营者备案登记表》,
11,,《中华人民共和国外商投资企业批准证书》,
12,,《中华人民共和国台、港、澳投资企业批准证书》,
13,,《保税监管区域外汇管理办法》,
14,,《保税监管区域外汇登记证》,
15,,《境外汇款申请书》,
16,,《对外付款/承兑通知书》,
17,,《境内汇款申请书》,
18,,《境内付款/承兑通知书》,
19,,《涉外收入申报单》,
20,,《境内收入申报单》,
21,,《货物贸易外汇业务登记表》,
22,,《登记表》,
23,,《现场核查通知书》,
